Sample	Abundance	Genus	Health
34T1	1.6020599913279625	Erysipelatoclostridium	OB
116T1	1.6020599913279625	Lachnospira	HWC
1T1	1.591064607026499	Veillonella	OB
22T1	1.5797835966168101	Erysipelatoclostridium	OB
28T1	1.5797835966168101	Intestinibacter	OB
134T1	1.568201724066995	Intestinibacter	HWC
50T1	1.568201724066995	Butyricicoccus	OB
16T1	1.5314789170422551	Butyricicoccus	OB
11T1	1.5185139398778875	Butyricicoccus	OB
104T1	1.5185139398778875	Lachnospira	HWC
85T1	1.505149978319906	Veillonella	OB
5T1	1.505149978319906	Alistipes	OB
93T1	1.4913616938342726	Butyricimonas	HWC
92T1	1.4913616938342726	Lachnospira	HWC
16T1	1.462397997898956	Veillonella	OB
5T1	1.462397997898956	Veillonella	OB
98T1	1.462397997898956	Intestinibacter	HWC
43T1	1.462397997898956	Butyricicoccus	OB
104T1	1.4471580313422192	Erysipelatoclostridium	HWC
37T1	1.414973347970818	Veillonella	OB
13T1	1.3979400086720377	Barnesiella	OB
34T1	1.3979400086720377	Lachnospira	OB
97T1	1.380211241711606	Butyricimonas	HWC
111T1	1.380211241711606	Intestinibacter	HWC
40T1	1.3617278360175928	Butyricicoccus	OB
120T1	1.3617278360175928	Barnesiella	HWC
127T1	1.3424226808222062	Erysipelatoclostridium	HWC
68T1	1.3222192947339193	Butyricimonas	HWC
93T1	1.3222192947339193	Intestinibacter	HWC
109T1	1.3010299956639813	Veillonella	HWC
43T1	1.3010299956639813	Lachnospira	OB
94T1	1.3010299956639813	Lachnospira	HWC
1T1	1.3010299956639813	Alistipes	OB
52T1	1.2787536009528289	Erysipelatoclostridium	OB
28T1	1.2787536009528289	Erysipelatoclostridium	OB
27T1	1.2787536009528289	Veillonella	OB
90T1	1.255272505103306	Erysipelatoclostridium	HWC
97T1	1.255272505103306	Lachnospira	HWC
50T1	1.255272505103306	Alistipes	OB
23T1	1.2304489213782739	Erysipelatoclostridium	OB
27T1	1.2304489213782739	Erysipelatoclostridium	OB
40T1	1.2304489213782739	Erysipelatoclostridium	OB
107T1	1.2304489213782739	Intestinibacter	HWC
1T1	1.2304489213782739	Intestinibacter	OB
33T1	1.2304489213782739	Butyricicoccus	OB
13T1	1.2041199826559248	Butyricimonas	OB
101T1	1.2041199826559248	Intestinibacter	HWC
91T1	1.2041199826559248	Lachnospira	OB
38T1	1.1760912590556813	Erysipelatoclostridium	OB
84T1	1.1760912590556813	Erysipelatoclostridium	HWC
93T1	1.1760912590556813	Erysipelatoclostridium	HWC
39T1	1.1760912590556813	Lachnospira	OB
74T1	1.146128035678238	Erysipelatoclostridium	HWC
53T1	1.146128035678238	Erysipelatoclostridium	OB
83T1	1.146128035678238	Intestinibacter	HWC
24T1	1.1139433523068367	Veillonella	OB
120T1	1.1139433523068367	Lachnospira	HWC
53T1	1.0791812460476249	Intestinibacter	OB
54T1	1.0791812460476249	Alistipes	OB
92T1	1.041392685158225	Erysipelatoclostridium	HWC
16T1	1.041392685158225	Butyricimonas	OB
106T1	1.041392685158225	Intestinibacter	HWC
85T1	1.041392685158225	Lachnospira	OB
63T1	1	Erysipelatoclostridium	HWC
85T1	1	Erysipelatoclostridium	OB
13T1	1	Veillonella	OB
11T1	1	Intestinibacter	OB
90T1	1	Lachnospira	HWC
74T1	1	Lachnospira	HWC
24T1	1	Alistipes	OB
72T1	0.9542425094393249	Erysipelatoclostridium	HWC
21T1	0.9542425094393249	Veillonella	OB
73T1	0.9542425094393249	Lachnospira	HWC
67T1	0.9030899869919435	Erysipelatoclostridium	HWC
51T1	0.9030899869919435	Erysipelatoclostridium	OB
43T1	0.9030899869919435	Erysipelatoclostridium	OB
76T1	0.9030899869919435	Butyricimonas	HWC
54T1	0.8450980400142568	Veillonella	OB
52T1	0.8450980400142568	Veillonella	OB
27T1	0.8450980400142568	Butyricicoccus	OB
89T1	0.7781512503836436	Erysipelatoclostridium	HWC
21T1	0.7781512503836436	Intestinibacter	OB
13T1	0.7781512503836436	Butyricicoccus	OB
83T1	0.7781512503836436	Lachnospira	HWC
43T1	0.6020599913279624	Barnesiella	OB
66T1	0.47712125471966244	Erysipelatoclostridium	HWC
13T1	0.47712125471966244	Erysipelatoclostridium	OB
50T1	0	Erysipelatoclostridium	OB
106T1	0	Erysipelatoclostridium	HWC
101T1	0	Erysipelatoclostridium	HWC
21T1	0	Erysipelatoclostridium	OB
97T1	0	Erysipelatoclostridium	HWC
120T1	0	Erysipelatoclostridium	HWC
83T1	0	Erysipelatoclostridium	HWC
109T1	0	Erysipelatoclostridium	HWC
11T1	0	Erysipelatoclostridium	OB
76T1	0	Erysipelatoclostridium	HWC
98T1	0	Erysipelatoclostridium	HWC
54T1	0	Erysipelatoclostridium	OB
111T1	0	Erysipelatoclostridium	HWC
107T1	0	Erysipelatoclostridium	HWC
88T1	0	Erysipelatoclostridium	HWC
116T1	0	Erysipelatoclostridium	HWC
5T1	0	Erysipelatoclostridium	OB
50T1	0	Butyricimonas	OB
9T1	0	Butyricimonas	OB
127T1	0	Butyricimonas	HWC
21T1	0	Butyricimonas	OB
66T1	0	Butyricimonas	HWC
91T1	0	Butyricimonas	OB
52T1	0	Butyricimonas	OB
23T1	0	Butyricimonas	OB
85T1	0	Butyricimonas	OB
134T1	0	Butyricimonas	HWC
101T1	0	Butyricimonas	HWC
33T1	0	Butyricimonas	OB
43T1	0	Butyricimonas	OB
24T1	0	Butyricimonas	OB
67T1	0	Butyricimonas	HWC
51T1	0	Butyricimonas	OB
1T1	0	Butyricimonas	OB
63T1	0	Butyricimonas	HWC
27T1	0	Butyricimonas	OB
72T1	0	Butyricimonas	HWC
74T1	0	Butyricimonas	HWC
28T1	0	Butyricimonas	OB
83T1	0	Butyricimonas	HWC
53T1	0	Butyricimonas	OB
54T1	0	Butyricimonas	OB
69T1	0	Butyricimonas	HWC
106T1	0	Butyricimonas	HWC
37T1	0	Butyricimonas	OB
40T1	0	Butyricimonas	OB
109T1	0	Butyricimonas	HWC
22T1	0	Butyricimonas	OB
39T1	0	Butyricimonas	OB
89T1	0	Butyricimonas	HWC
34T1	0	Butyricimonas	OB
38T1	0	Butyricimonas	OB
5T1	0	Butyricimonas	OB
107T1	0	Butyricimonas	HWC
88T1	0	Butyricimonas	HWC
84T1	0	Butyricimonas	HWC
111T1	0	Butyricimonas	HWC
67T1	0	Veillonella	HWC
23T1	0	Veillonella	OB
28T1	0	Veillonella	OB
104T1	0	Veillonella	HWC
72T1	0	Veillonella	HWC
33T1	0	Veillonella	OB
34T1	0	Veillonella	OB
91T1	0	Veillonella	OB
120T1	0	Veillonella	HWC
98T1	0	Veillonella	HWC
83T1	0	Veillonella	HWC
106T1	0	Veillonella	HWC
92T1	0	Veillonella	HWC
127T1	0	Veillonella	HWC
68T1	0	Veillonella	HWC
84T1	0	Veillonella	HWC
107T1	0	Veillonella	HWC
93T1	0	Veillonella	HWC
53T1	0	Veillonella	OB
69T1	0	Veillonella	HWC
134T1	0	Veillonella	HWC
39T1	0	Veillonella	OB
94T1	0	Veillonella	HWC
40T1	0	Veillonella	OB
88T1	0	Veillonella	HWC
111T1	0	Veillonella	HWC
97T1	0	Veillonella	HWC
89T1	0	Veillonella	HWC
116T1	0	Veillonella	HWC
43T1	0	Veillonella	OB
63T1	0	Veillonella	HWC
74T1	0	Veillonella	HWC
90T1	0	Veillonella	HWC
50T1	0	Veillonella	OB
11T1	0	Veillonella	OB
66T1	0	Veillonella	HWC
9T1	0	Veillonella	OB
24T1	0	Intestinibacter	OB
27T1	0	Intestinibacter	OB
68T1	0	Intestinibacter	HWC
37T1	0	Intestinibacter	OB
116T1	0	Intestinibacter	HWC
94T1	0	Intestinibacter	HWC
76T1	0	Intestinibacter	HWC
120T1	0	Intestinibacter	HWC
74T1	0	Intestinibacter	HWC
97T1	0	Intestinibacter	HWC
72T1	0	Butyricicoccus	HWC
88T1	0	Butyricicoccus	HWC
9T1	0	Butyricicoccus	OB
83T1	0	Butyricicoccus	HWC
53T1	0	Butyricicoccus	OB
111T1	0	Butyricicoccus	HWC
67T1	0	Butyricicoccus	HWC
84T1	0	Butyricicoccus	HWC
98T1	0	Butyricicoccus	HWC
68T1	0	Butyricicoccus	HWC
90T1	0	Butyricicoccus	HWC
101T1	0	Butyricicoccus	HWC
23T1	0	Butyricicoccus	OB
93T1	0	Butyricicoccus	HWC
89T1	0	Butyricicoccus	HWC
104T1	0	Butyricicoccus	HWC
97T1	0	Butyricicoccus	HWC
22T1	0	Barnesiella	OB
68T1	0	Barnesiella	HWC
23T1	0	Barnesiella	OB
24T1	0	Barnesiella	OB
27T1	0	Barnesiella	OB
38T1	0	Barnesiella	OB
53T1	0	Barnesiella	OB
69T1	0	Barnesiella	HWC
101T1	0	Barnesiella	HWC
9T1	0	Barnesiella	OB
21T1	0	Barnesiella	OB
127T1	0	Barnesiella	HWC
63T1	0	Barnesiella	HWC
54T1	0	Barnesiella	OB
33T1	0	Barnesiella	OB
84T1	0	Barnesiella	HWC
93T1	0	Barnesiella	HWC
73T1	0	Barnesiella	HWC
91T1	0	Barnesiella	OB
134T1	0	Barnesiella	HWC
109T1	0	Barnesiella	HWC
50T1	0	Barnesiella	OB
40T1	0	Barnesiella	OB
85T1	0	Barnesiella	OB
97T1	0	Barnesiella	HWC
28T1	0	Barnesiella	OB
74T1	0	Barnesiella	HWC
116T1	0	Barnesiella	HWC
39T1	0	Barnesiella	OB
1T1	0	Barnesiella	OB
16T1	0	Barnesiella	OB
5T1	0	Barnesiella	OB
69T1	0	Lachnospira	HWC
111T1	0	Lachnospira	HWC
68T1	0	Lachnospira	HWC
93T1	0	Lachnospira	HWC
101T1	0	Lachnospira	HWC
72T1	0	Lachnospira	HWC
27T1	0	Lachnospira	OB
98T1	0	Lachnospira	HWC
67T1	0	Lachnospira	HWC
89T1	0	Lachnospira	HWC
107T1	0	Lachnospira	HWC
5T1	0	Lachnospira	OB
127T1	0	Lachnospira	HWC
38T1	0	Lachnospira	OB
52T1	0	Lachnospira	OB
11T1	0	Lachnospira	OB
1T1	0	Lachnospira	OB
68T1	0	Alistipes	HWC
27T1	0	Alistipes	OB
